PromptID,PMCID,Outcome,Intervention,Comparator
124,2871176,Postprandial plasma glucose,Liraglutide (0.6 mg) plus glimepiride,Placebo plus glimepiride
157,2708184,Locomotor-training effects,Fast treadmill speed,Slow treadmill speed
107,2871176,HbA1c level at 26 weeks,Liraglutide (1.8 mg) plus glimepiride,Rosiglitazone plus glimepiride
170,2864284,Recurrent infections at day 56,Dihydroartemisinin-piperaquine,Chloroquine
173,2864284,Baseline white blood cell count,Dihydroartemisinin-piperaquine,Chloroquine
156,2708184,Paretic step length ratio,Body-weight supported treadmill training combined with Lokomat,Manually-assisted body-weight supported treadmill training
171,2864284,Superiority of treatment given by survival curves,Dihydroartemisinin-piperaquine,Chloroquine
176,2864284,Headache,Dihydroartemisinin-piperaquine,Chloroquine
91,2944158,IVD complications per person,routine replacement,staff inclination replacement
90,2944158,cost per patient,routine replacement,staff inclination replacement
105,2871176,HbA1c level at 26 weeks,Liraglutide (1.8 mg) plus glimepiride,Placebo plus glimepiride
187,2517154,Bleeding during surgery,Infliximab,Placebo
133,2871176,Proinsulin : insulin ratio,Liraglutide (1.8 mg) plus glimepiride ,Rosiglitazone plus glimepiride 
103,2871176,Postprandial plasma glucose,Liraglutide (1.2 mg) plus glimepiride,Placebo plus glimepiride
158,2708184,Self-selected overground walk velocity,Body-weight supported treadmill training combined with Lokomat (Post-test),Body-weight supported treadmill training combined with Lokomat (Pre-test)
174,2864284,Fever resolution by day 1,Dihydroartemisinin-piperaquine,Chloroquine
179,2864284,Pruritus,Dihydroartemisinin-piperaquine,Chloroquine
126,2871176,ADA postprandial plasma glucose goals less than 10.0 mmol/l,Liraglutide (0.6 mg) plus glimepiride,Placebo plus glimepiride
118,2871176,ADA fasting plasma glucose goals between 5.0 mmol/l and less than 7.2 mmol/l,Liraglutide (0.6 mg) plus glimepiride,Placebo plus glimepiride
132,2871176,Proinsulin : insulin ratio,Liraglutide (1.2 mg) plus glimepiride ,Placebo plus glimepiride 
194,3187863,Labour dystocia,Midwife-led unit,Normal unit & Special unit
190,2517154,Pain killers intake,Infliximab,Placebo
122,2871176,ADA fasting plasma glucose goals between 5.0 mmol/l and less than 7.2 mmol/l,Liraglutide (1.8 mg) plus glimepiride,Rosiglitazone plus glimepiride
211,2206488,C-reactive protein (mg/l),dextran-70 infusion was administered at a dose of 7.5 ml/kg before the initiation of cardiopulmonary bypass and at a dose of 12.5 ml/kg after the cessation of cardiopulmonary bypass,identical amounts of gelatin infusion
198,3187863,Postpartum haemorrhage,Midwife-led unit,Normal unit & Special unit
172,2864284,Serious adverse events,Dihydroartemisinin-piperaquine,Chloroquine
167,3001156,Care-seeking from unqualified providers (such as village doctors) for ill newborns ,Promotion by CHWs of maternal and newborn-care interventions ,Comparison arm 
202,4106715,Prolonged abstinence from smoking rates to 6 months,high Ab group,placebo
201,2688140,"The durations of mechanical ventilation, ICU stay and use of paralysing or sedative agents of patients with ARDS",Decremental PEEP titration group,table-based PEEP (control) group
141,2871176,Reductions in systolic blood pressure,Liraglutide (1.2 mg) plus glimepiride ,Placebo plus glimepiride 
181,2517154,Severity of pain,Infliximab,Placebo
151,2871176,Incidence of minor hypoglycaemia,Liraglutide (1.8 mg) plus glimepiride,Rosiglitazone plus glimepiride
112,2871176,Patients reaching HbA1c goals less than 7.0% and equal or less than 6.5%,Liraglutide (1.2 mg) plus glimepiride,Rosiglitazone plus glimepiride
153,2871176,Changes in calcitonin at week 26,Liraglutide (all doses) plus glimepiride,Rosiglitazone plus glimepiride
102,2871176,Fasting plasma glucose at week 26,Liraglutide (1.2 mg) plus glimepiride,Rosiglitazone plus glimepiride
129,2871176,ADA postprandial plasma glucose goals less than 10.0 mmol/l,Liraglutide (all doses) plus glimepiride,Rosiglitazone plus glimepiride
195,3187863,Oxytocin infusion for augmentation of labour,Midwife-led unit,Normal unit & Special unit
104,2871176,Postprandial plasma glucose,Liraglutide (1.2 mg) plus glimepiride,Rosiglitazone plus glimepiride
206,4106715,Reduction of daily cigarette consumption and cotinine,non-abstainers (weeks 19–52) with high Ab levels,non-abstainers in the placebo group
116,2871176,Fasting plasma glucose at week 26,Liraglutide (0.6 mg) plus glimepiride,Placebo plus glimepiride
168,2864284,Parasite clearance at day 1,Dihydroartemisinin-piperaquine,Chloroquine
136,2871176,HOMA-B,Liraglutide (1.8 mg) plus glimepiride ,Rosiglitazone plus glimepiride 
208,2206488,"Procalcitonin, IL 8, IL 10, endothelial leukocyte adhesion molecule-1, intercellular adhesion molecule-1, troponin-I",dextran-70 infusion was administered at a dose of 7.5 ml/kg before the initiation of cardiopulmonary bypass and at a dose of 12.5 ml/kg after the cessation of cardiopulmonary bypass,identical amounts of gelatin infusion
182,2517154,Nodules diameters,Infliximab,Placebo
165,3001156,Care-seeking from qualified providers for ill newborns ,Promotion by CHWs of maternal and newborn-care interventions ,Comparison arm 
197,3187863,Pain relief: Acupuncture,Midwife-led unit,Normal unit & Special unit
161,2708184,Improvement in lower extremity Fugl-Meyer score ,Body-weight supported treadmill training combined with Lokomat (Post-test),Body-weight supported treadmill training combined with Lokomat (Pre-test)
184,2517154,Extend of the disease as visualized during surgery,Infliximab,Placebo
200,2688140,The survival rate / overall mortality of patients with ARDS,Decremental PEEP titration group,table-based PEEP (control) group
123,2871176,Postprandial plasma glucose,Liraglutide (1.8 mg) plus glimepiride,Placebo plus glimepiride
180,2864284,Haemoglobin concentration,Dihydroartemisinin-piperaquine,Chloroquine
203,4106715,Prolonged abstinence from smoking rates to 6 months,low Ab group,placebo
135,2871176,HOMA-B,Liraglutide (1.2 mg) plus glimepiride ,Rosiglitazone plus glimepiride 
139,2871176,HOMA-IR,Liraglutide (all doses) plus glimepiride,Placebo plus glimepiride
183,2517154,Endometrial thickness,Infliximab,Placebo
101,2871176,Fasting plasma glucose at week 26,Liraglutide (1.2 mg) plus glimepiride,Placebo plus glimepiride
94,2944158,occlusion,routine replacement,staff inclination replacement
212,2206488,IL-6 (pg/ml),dextran-70 infusion was administered at a dose of 7.5 ml/kg before the initiation of cardiopulmonary bypass and at a dose of 12.5 ml/kg after the cessation of cardiopulmonary bypass,identical amounts of gelatin infusion
99,2871176,HbA1c level at 26 weeks,Liraglutide (1.2 mg) plus glimepiride,Placebo plus glimepiride
144,2871176,Reductions in systolic blood pressure,Liraglutide (1.8 mg) plus glimepiride ,Rosiglitazone plus glimepiride 
189,2517154,Pain estimates after surgery,Infliximab,Placebo
160,2708184,Late Life Function and Disability Instrument,Body-weight supported treadmill training combined with Lokomat (Post-test),Body-weight supported treadmill training combined with Lokomat (Pre-test)
145,2871176,Decreases in diastolic blood pressure,Liraglutide (all doses) plus glimepiride,Placebo plus glimepiride
147,2871176,Pulse variations,Liraglutide (all doses) plus glimepiride,Placebo plus glimepiride
155,2708184,Self-selected overground walk velocity,Body-weight supported treadmill training combined with Lokomat,Manually-assisted body-weight supported treadmill training
209,2206488,Cardiac index ,dextran-70 infusion was administered at a dose of 7.5 ml/kg before the initiation of cardiopulmonary bypass and at a dose of 12.5 ml/kg after the cessation of cardiopulmonary bypass,identical amounts of gelatin infusion
117,2871176,Fasting plasma glucose at week 26,Liraglutide (1.8 mg) plus glimepiride,Rosiglitazone plus glimepiride
143,2871176,Reductions in systolic blood pressure,Liraglutide (1.2 mg) plus glimepiride ,Rosiglitazone plus glimepiride 
166,3001156,Care-seeking from the Kumudini Hospital for ill newborns ,Promotion by CHWs of maternal and newborn-care interventions ,Comparison arm 
111,2871176,Patients reaching HbA1c goals less than 7.0% and equal or less than 6.5%,Liraglutide (1.8 mg) plus glimepiride,Placebo plus glimepiride
97,2858204,hypoglycemia occuring after treatment,HBOT ,placebo
137,2871176,HOMA-B,Liraglutide (1.2 mg) plus glimepiride ,Placebo plus glimepiride 
114,2871176,Patients reaching HbA1c goals less than 7.0% ,Liraglutide (1.8 mg) plus glimepiride,Liraglutide (1.2 mg) plus glimepiride
210,2206488,systemic vascular resistance,dextran-70 infusion was administered at a dose of 7.5 ml/kg before the initiation of cardiopulmonary bypass and at a dose of 12.5 ml/kg after the cessation of cardiopulmonary bypass,identical amounts of gelatin infusion
108,2871176,HbA1c level at 26 weeks,Liraglutide (0.6 mg) plus glimepiride,Rosiglitazone plus glimepiride
128,2871176,ADA postprandial plasma glucose goals less than 10.0 mmol/l,Liraglutide (1.8 mg) plus glimepiride,Placebo plus glimepiride
193,3187863,Perineal outcome: the number of episiotomies or the incidence of sphincter injuries,Special unit,Normal unit & Special unit
159,2708184,6-minute walk test,Body-weight supported treadmill training combined with Lokomat (Post-test),Body-weight supported treadmill training combined with Lokomat (Pre-test)
188,2517154,Tissue examination by routine pathology,Infliximab,Placebo
134,2871176,Proinsulin : insulin ratio,Liraglutide (1.8 mg) plus glimepiride ,Placebo plus glimepiride 
177,2864284,Cure rate at day 28,Dihydroartemisinin-piperaquine,Chloroquine
185,2517154,Macroscopic aspect of the tissue,Infliximab,Placebo
175,2864284,Fever resolution by day 2,Dihydroartemisinin-piperaquine,Chloroquine
115,2871176,Fasting plasma glucose at week 26,Liraglutide (1.8 mg) plus glimepiride,Placebo plus glimepiride
127,2871176,ADA postprandial plasma glucose goals less than 10.0 mmol/l,Liraglutide (1.2 mg) plus glimepiride,Placebo plus glimepiride
131,2871176,Proinsulin : insulin ratio,Liraglutide (1.2 mg) plus glimepiride ,Rosiglitazone plus glimepiride 
109,2871176,HbA1c level at 26 weeks,Rosiglitazone plus glimepiride,Placebo plus glimepiride
96,2858204,frequency of healed index ucler after 1 year,HBOT ,placebo
146,2871176,Decreases in diastolic blood pressure,Liraglutide (all doses) plus glimepiride,Rosiglitazone plus glimepiride
205,4106715,Prolonged abstinence from smoking rates to 12 months,low Ab group,placebo
93,2944158,infiltration,routine replacement,staff inclination replacement
192,1852268,obstetric/postpartum infection or gynecologic/postoperative infection,"Inravenous ertapenem, 1 g once a day","Intravenous piperacillin–tazobactam, 3.375 g every 6 hours"
110,2871176,Patients reaching HbA1c goals less than 7.0% and equal or less than 6.5%,Liraglutide (1.2 mg) plus glimepiride,Placebo plus glimepiride
100,2871176,HbA1c level at 26 weeks,Liraglutide (1.2 mg) plus glimepiride,Rosiglitazone plus glimepiride
204,4106715,Prolonged abstinence from smoking rates to 12 months,high Ab group,placebo
138,2871176,HOMA-B,Liraglutide (1.8 mg) plus glimepiride ,Placebo plus glimepiride 
199,3187863,"Neonatal outcomes were evaluated by Apgar score <7 at 5 minutes, metabolic acidosis and transfer to NICU within 2 hours of birth",Midwife-led unit,Normal unit & Special unit
119,2871176,ADA fasting plasma glucose goals between 5.0 mmol/l and less than 7.2 mmol/l,Liraglutide (1.2 mg) plus glimepiride,Placebo plus glimepiride
400,2690844,Complications after surgery,Transverse incision,Midline incision
472,2847809,Complications and mortality,Clopidogrel,Placebo
344,3580134,Time to first COPD exacerbation,Budesonide/formoterol pMDI 160/9 μg,Placebo
474,2847809,The primary arteriovenous fistula failures at two months,Clopidogrel,Placebo
315,3580134,1-hour post-dose FEV1 improvements,Budesonide/formoterol pMDI 320/9 μg,Placebo
279,2375236,Information recall,Patients who received a question prompt sheet,Patients who didn't receive a question prompt sheet
480,2447617,The analysis using the dichotomization of GOS scores at 6 months post injury,progesterone,placebo
324,3580134,Mean FEV1 at 12 hours at end of treatment,Budesonide/formoterol pMDI 320/9 μg,Placebo
406,2690844,Scar width,Transverse incision,Midline incision
481,2899760,Fusion rate,raditional Smith–Robinson (SR) procedure with autograft ,anterior cervical decompression and fusion (ACDF) with Trabecular MetalTM (TM)
224,1475568,Minnesota living with heart failure (MLHF) questionnaire baseline scores,Follow-up and thorough education on self-care,Standard information about self-care
374,3580134,Sleep score improvement,Budesonide/formoterol pMDI 160/9 μg,Formoterol DPI 9 μg
319,3580134,Peak expiratory flow in the morning and evening ,Budesonide/formoterol pMDI 320/9 μg,Placebo
440,2600646,mean Hb,arthemeter-lumefantrine (AL) ,dihydroartemisinin-piperaquine (AP)
268,2691927,Need for opiates,Laparoscopic surgery,Conventional open approach
286,1871574,Quit attempt of 1 week or longer reported at 3 months,Smoking cessation advice and NRT offered,Usual care
309,2817867,Local recurrence rate through the study,Radiofrequency ablation,Hepatic resection
241,3090298,Higher-order aberrations during the study,Photo-refractive keratectomy (PRK),Thin-flap laser in situ keratomileusis (LASIK)
216,1475568,Heart failure-related quality of life at the end of treatment,Follow-up and thorough education on self-care,Standard information about self-care
307,2817867,Overall survival rate at 5 years,Radiofrequency ablation,Hepatic resection
302,2817867,Blood loss during surgery,Radiofrequency ablation,Hepatic resection
326,3580134,Baseline-adjusted average 12-hour FEV1 at end of treatment,Budesonide/formoterol pMDI 160/9 μg,Placebo
443,1468428,Puerperal and neonatal infection rates ,1 litre saline enema,no enema
341,3580134,1-hour post-dose inspiratory capacity mean improvements from baseline to the average over the randomized treatment period,Budesonide/formoterol pMDI 320/9 μg,Formoterol DPI 9 μg
403,2690844,Infection of the surgical site,Transverse incision,Midline incision
347,3580134,Amount of exacerbations per patient-treatment year,Budesonide/formoterol pMDI 160/9 μg,Placebo
231,3090298,Uncorrected distance visual acuity at 1 month,Photo-refractive keratectomy (PRK),Thin-flap laser in situ keratomileusis (LASIK)
389,2690844,Smaller incision ,Transverse incision,Midline incision
482,2899760,clinical outcomes,raditional Smith–Robinson (SR) procedure with autograft ,anterior cervical decompression and fusion (ACDF) with Trabecular MetalTM (TM)
367,3580134,Overall use of daily rescue medication improvement,Budesonide/formoterol pMDI 320/9 μg,Placebo
402,2690844,Urinary retention,Transverse incision,Midline incision
283,2361806,Overall survival,Irinotecan with high-dose 5-fluorouracil plus leucovorin (ILF),Etoposide with 5-fluorouracil plus leucovorin (ELF)
397,2690844,Procedure performed directly by the staff surgeon,Transverse incision,Midline incision
233,3090298,Corrected distance visual acuity at 6 months,Photo-refractive keratectomy (PRK),Thin-flap laser in situ keratomileusis (LASIK)
254,1831737,Patients infected with T. vaginalis,Baseline communities that received additional education and preventive measures,Baseline communities that received standard Government services
282,2361806,Time to treatment failure,Irinotecan with high-dose 5-fluorouracil plus leucovorin (ILF),Etoposide with 5-fluorouracil plus leucovorin (ELF)
447,2607225,cognitive functioning,"individual support, group rehabilitation and a combination of the two (Group rehabilitation)",standard care
385,2721929,Urgency score improvement,Bladder training plus tolterodine (Co),Bladder training only (BT)
467,3387601,negative correlation between CSF protein and duration of mechanical ventilation,plasma exchange (PE),intravenous immunoglobulin (IVIG)
305,2817867,Hospital stay,Radiofrequency ablation,Hepatic resection
273,2691927,Time to nasogastric decompression,Laparoscopic surgery,Conventional open approach
456,3446002,side effects,single dose of 50 mg/kg clofibrate,control group
269,2691927,Hospital permanence,Laparoscopic surgery,Conventional open approach
463,1876597,Adverse Events,dihydroartemisinin-piperaquine ,artemether-lumefantrine
238,3090298,Contrast sensitivity at 3 months seen at 3 cpd,Photo-refractive keratectomy (PRK),Pre-surgery baseline
265,2691927,Visual analog scale pain score at day 3,Laparoscopic surgery,Conventional open approach
395,2690844,Average patient's weight,Transverse incision,Midline incision
264,2691927,Visual analog scale pain score at day 1,Laparoscopic surgery,Conventional open approach
278,2375236,Anxiety,Patients who received a question prompt sheet,Patients who didn't receive a question prompt sheet
370,3580134,Cough score improvement,Budesonide/formoterol pMDI 320/9 μg,Formoterol DPI 9 μg
479,2447617,The analysis using the dichotomization of GOS scores at 3 months post injury,progesterone,placebo
261,1831737,Programme meeting attendance,Baseline communities that received additional education and preventive measures,Baseline communities that received standard Government services
387,2721929,Urgency score improvement,Bladder training plus tolterodine (Co),Tolterodine only (To)
276,2375236,Prognosis information given,Patients who received a question prompt sheet,Patients who didn't receive a question prompt sheet
237,3090298,Contrast sensitivity at 1 month seen at 3 cpd,Photo-refractive keratectomy (PRK),Pre-surgery baseline
298,1871574,Smoking cessation at 6 months,Smoking cessation advice and NRT offered,Usual care
292,1871574,Baseline cotinine level,Smoking cessation advice and NRT offered,Usual care
423,1187893,Knee injury and Osteoarthritis Outcome Score quality of life subscale at 6 months,Exercise,No exercise
323,3580134,Mean FEV1 at 12 hours on the day of randomization,Budesonide/formoterol pMDI 160/9 μg,Placebo
295,1871574,Smoking reduction at 3 months,Smoking cessation advice and NRT offered,Usual care
316,3580134,1-hour post-dose FEV1 improvements,Budesonide/formoterol pMDI 160/9 μg,Placebo
217,1475568,Baseline hypertension,Follow-up and thorough education on self-care,Standard information about self-care
258,1831737,Intake of STI treatment,Baseline communities that received additional education and preventive measures,Baseline communities that received standard Government services
441,2600646,Adverse events,arthemeter-lumefantrine (AL) ,dihydroartemisinin-piperaquine (AP)
377,3580134,24-hour urinary cortisol at 6 months,Budesonide/formoterol pMDI 320/9 μg,Placebo
218,1475568,Baseline diabetes,Follow-up and thorough education on self-care,Standard information about self-care
255,1831737,Secondary school education,Baseline communities that received additional education and preventive measures,Baseline communities that received standard Government services
393,2690844,Pain on day three after surgery,Transverse incision,Midline incision
289,1871574,Baseline smoking habits,Smoking cessation advice and NRT offered,Usual care
473,2847809,First hemodialysis success,Clopidogrel,Placebo
228,1475568,Baseline life-quality score,Follow-up and thorough education on self-care,Standard information about self-care
275,2375236,Prognosis enquiry,Patients who received a question prompt sheet,Patients who didn't receive a question prompt sheet
401,2690844,Cardiac complications,Transverse incision,Midline incision
310,3580134,Time to discontinuation,Budesonide/formoterol pMDI 320/9 μg,Placebo
355,3580134,Breathlessness Cough and Sputum Scale improvement,Budesonide/formoterol pMDI 160/9 μg,Placebo
287,1871574,Gender,Smoking cessation advice and NRT offered,Usual care
427,1187893,Functional performance improvement,Exercise,No exercise
290,1871574,Baseline nicotine dependence variables,Smoking cessation advice and NRT offered,Usual care
391,2690844,Pain on day one after surgery,Transverse incision,Midline incision
384,2721929,Urgency score improvement,Tolterodine only (To),Bladder training only (BT)
259,1831737,Self-reported STI symptoms,Baseline communities that received additional education and preventive measures,Baseline communities that received standard Government services
407,2690844,Better cosmetic appearance of the incision as subjectively assessed by patients,Transverse incision,Midline incision
226,1475568,Knowledge about heart failure,Follow-up and thorough education on self-care,Standard information about self-care
368,3580134,Dyspnoea score improvement,Budesonide/formoterol pMDI 320/9 μg,Formoterol DPI 9 μg
257,1831737,Genital discharge history,Baseline communities that received additional education and preventive measures,Baseline communities that received standard Government services
220,1475568,Baseline beta-blockers intake,Follow-up and thorough education on self-care,Standard information about self-care
369,3580134,Breathlessness Cough and Sputum Scale improvement,Budesonide/formoterol pMDI 320/9 μg,Formoterol DPI 9 μg
250,2922723,Visual analogue scale scores for efficacy,High frequency chest wall oscillation,Usual airway clearance techniques
450,2720945,Side effects,cineole,placebo
232,3090298,Corrected distance visual acuity at 1 month,Photo-refractive keratectomy (PRK),Thin-flap laser in situ keratomileusis (LASIK)
227,1475568,Self-efficacy,Follow-up and thorough education on self-care,Standard information about self-care
477,2447617,The mean intracranial pressure values 72 hours and 7 days after injury,progesterone,placebo
293,1871574,Baseline CO level,Smoking cessation advice and NRT offered,Usual care
296,1871574,"Inhaling less smoke, measured at 3 months",Smoking cessation advice and NRT offered,Usual care
281,2361806,Overall response rates,Irinotecan with high-dose 5-fluorouracil plus leucovorin (ILF),Etoposide with 5-fluorouracil plus leucovorin (ELF)
266,2691927,Visual analog scale pain score at day 7,Laparoscopic surgery,Conventional open approach
299,1871574,Quit attempt of 1 week or longer reported at 6 months,Smoking cessation advice and NRT offered,Usual care
380,3580134,Incidence of pneumonia,Budesonide/formoterol pMDI 160/9 μg,Formoterol DPI 9 μg
256,1831737,Spatial mobility,Baseline communities that received additional education and preventive measures,Baseline communities that received standard Government services
285,2361806,Grade 3/4 digestive system toxic events,Irinotecan with high-dose 5-fluorouracil plus leucovorin (ILF),Etoposide with 5-fluorouracil plus leucovorin (ELF)
361,3580134,Dyspnoea score improvement,Budesonide/formoterol pMDI 320/9 μg,Placebo
300,1871574,Smoking habits at 6 months,Smoking cessation advice and NRT offered,Usual care
365,3580134,Sleep score improvement,Budesonide/formoterol pMDI 320/9 μg,Placebo
461,1876597,unadjusted risk of recurrent falciparum parasitemia,dihydroartemisinin-piperaquine ,artemether-lumefantrine
328,3580134,Baseline-adjusted average 12-hour FEV1 on the day of randomization,Budesonide/formoterol pMDI 320/9 μg,Placebo
294,1871574,Smoking cessation at 3 months,Smoking cessation advice and NRT offered,Usual care
386,2721929,Micturition frequency,Bladder training plus tolterodine (Co),Tolterodine only (To)
363,3580134,Cough score improvement,Budesonide/formoterol pMDI 320/9 μg,Placebo
452,2720945,"Mean of sum of number, duration and severity of exacerbations during 6 months of treatment",cineole,placebo
455,3446002,The duration of phototherapy,single dose of 50 mg/kg clofibrate,control group
366,3580134,Awakening-free nights percentage improvement,Budesonide/formoterol pMDI 320/9 μg,Placebo
338,3580134,Pre-dose inspiratory capacity,Budesonide/formoterol pMDI 160/9 μg,Placebo
360,3580134,Overall use of daily rescue medication improvement,Budesonide/formoterol pMDI 160/9 μg,Placebo
420,1784771,Infection,Prostaglandin gel plus hygroscopic cervical dilators ,Prostaglandin gel
457,3446002,Total serum bilirubin level,single dose of 50 mg/kg clofibrate,control group
415,2575601,Sepsis related Organ-Failure Assessment (SOFA) baseline scores,Thiopental,Pentobarbital
242,3090298,Higher-order aberrations at 6 months,Photo-refractive keratectomy (PRK),Thin-flap laser in situ keratomileusis (LASIK)
459,1913177,Wound complications,components separation technique (CST),prosthetic repair with e-PTFE patch (PR)
280,2361806,Clinical response rates at 14 weeks,Irinotecan with high-dose 5-fluorouracil plus leucovorin (ILF),Etoposide with 5-fluorouracil plus leucovorin (ELF)
236,3090298,Contrast sensitivity,Thin-flap laser in situ keratomileusis (LASIK) ,Pre-surgery baseline
356,3580134,Cough score improvement,Budesonide/formoterol pMDI 160/9 μg,Placebo
451,2720945,Quality of life,cineole,placebo
465,3387601,Pediatric Intensive Care Unit (PICU) stay,plasma exchange (PE) ,intravenous immunoglobulin (IVIG)
337,3580134,Pre-dose inspiratory capacity,Budesonide/formoterol pMDI 320/9 μg,Formoterol DPI 9 μg
318,3580134,Peak expiratory flow in the morning and evening ,Budesonide/formoterol pMDI 160/9 μg,Placebo
475,2447617,The modified Functional Independence Measure scores,progesterone,placebo
219,1475568,Baseline systolic dysfunction,Follow-up and thorough education on self-care,Standard information about self-care
340,3580134,1-hour post-dose inspiratory capacity mean improvements from baseline to the average over the randomized treatment period ,Budesonide/formoterol pMDI 160/9 μg,Formoterol DPI 9 μg
243,2922723,Sputum expectoration during a single session,High frequency chest wall oscillation,Usual airway clearance techniques
270,2691927,Ulcer mean diameter,Laparoscopic surgery,Conventional open approach
408,2575601,Refractory intracranial pressure,Thiopental,Pentobarbital
327,3580134,Baseline-adjusted average 12-hour FEV1 at end of treatment,Budesonide/formoterol pMDI 320/9 μg,Placebo
357,3580134,Sputum score improvement,Budesonide/formoterol pMDI 160/9 μg,Placebo
230,3090298,Uncorrected distance visual acuity at 3 months,Photo-refractive keratectomy (PRK),Thin-flap laser in situ keratomileusis (LASIK)
436,1201146,Pain on walking,topical diclofenac solution (Pennsaid®),vehicle control solution (carrier with no diclofenac)
396,2690844,Average patient's lenght,Transverse incision,Midline incision
223,1475568,Baseline angiotensin II receptor blockers (ARBs) intake,Follow-up and thorough education on self-care,Standard information about self-care
308,2817867,Disease-free survival rate at 5 years,Radiofrequency ablation,Hepatic resection
253,1831737,HIV-1 prevalence,Communities that received additional education and preventive measures,Communities that received standard Government services
351,3580134,Improvements in St. George's Respiratory Questionnaire overall score,Budesonide/formoterol pMDI 160/9 μg,Placebo
222,1475568,Baseline digoxin intake,Follow-up and thorough education on self-care,Standard information about self-care
329,3580134,Baseline-adjusted average 12-hour FEV1 on the day of randomization,Budesonide/formoterol pMDI 160/9 μg,Placebo
388,2690844,Incisional hernia apparition at follow-up,Transverse incision,Midline incision
297,1871574,"Smoking less of a cigarette, measured at 3 months",Smoking cessation advice and NRT offered,Usual care
444,1468428,Median labour time,1 litre saline enema,no enema
462,1876597,the risk of recurrent parasitemia due to possible recrudescence,dihydroartemisinin-piperaquine ,artemether-lumefantrine
394,2690844,Analgesics use,Transverse incision,Midline incision
311,3580134,Time to discontinuation,Budesonide/formoterol pMDI 160/9 μg,Placebo
332,3580134,Baseline-adjusted average 12-hour FEV1 on the day of randomization,Budesonide/formoterol pMDI 320/9 μg,Formoterol DPI 9 μg
221,1475568,Baseline angiotensin-converting enzyme (ACE) inhibitors intake,Follow-up and thorough education on self-care,Standard information about self-care
235,3090298,Contrast sensitivity,Photo-refractive keratectomy (PRK),Thin-flap laser in situ keratomileusis (LASIK)
352,3580134,Improvements in St. George's Respiratory Questionnaire overall score,Budesonide/formoterol pMDI 320/9 μg,Placebo
306,2817867,Rate of complications,Radiofrequency ablation,Hepatic resection
418,1784771,Baseline demographic differences,Prostaglandin gel plus hygroscopic cervical dilators ,Prostaglandin gel
453,2720945,"Trouble in breathing, dyspnea in the morning and dyspnea at rest",cineole,placebo
321,3580134,Peak expiratory flow in the morning and evening ,Budesonide/formoterol pMDI 320/9 μg,Formoterol DPI 9 μg
262,1831737,High-risk sexual behaviour,Baseline communities that received additional education and preventive measures,Baseline communities that received standard Government services
378,3580134,24-hour urinary cortisol at end of treatment,Budesonide/formoterol pMDI 320/9 μg,Formoterol DPI 9 μg
349,3580134,Amount of exacerbations per patient-treatment year,Budesonide/formoterol pMDI 160/9 μg,Formoterol DPI 9 μg
